kota_normal,produk,7,8,9,10,total
Kota Administrasi Jakarta Timur,Yayle Exypnost 200 ml,149,92,79,76,396
Kota Administrasi Jakarta Utara,Yayle Exypnost 120 ml,257,144,126,103,630
Kota Administrasi Jakarta Utara,Yayle Exypnost 200 ml,138,93,51,74,356
Kota Administrasi Kepulauan Seribu,Yayle Exypnost 120 ml,8,5,1,3,17
Kota Administrasi Kepulauan Seribu,Yayle Exypnost 200 ml,6,5,0,0,11
Kota Ambon,Yayle Exypnost 200 ml,134,68,46,37,285
Kota Ambon,Yayle Exypnost 120 ml,74,50,123,18,265
Kota Balikpapan,Yayle Exypnost 120 ml,158,73,68,46,345
Kota Balikpapan,Yayle Exypnost 200 ml,155,82,43,36,316
Kota Banda Aceh,Yayle Exypnost 200 ml,189,76,71,82,418
Kota Banda Aceh,Yayle Exypnost 120 ml,138,89,50,46,323
Kota Bandar Lampung,Yayle Exypnost 120 ml,160,77,52,46,335
Kota Bandar Lampung,Yayle Exypnost 200 ml,73,62,41,35,211
Kota Bandung,Yayle Exypnost 120 ml,419,215,154,112,900
Kota Bandung,Yayle Exypnost 200 ml,160,83,76,55,374
Kota Banjar,Yayle Exypnost 120 ml,38,19,25,7,89
Kota Banjar,Yayle Exypnost 200 ml,21,10,7,4,42
Kota Banjar Baru,Yayle Exypnost 120 ml,2,0,7,3,12
Kota Banjar Baru,Yayle Exypnost 200 ml,5,0,3,0,8
Kota Banjarbaru,Yayle Exypnost 120 ml,48,20,16,19,103
Kota Banjarbaru,Yayle Exypnost 200 ml,41,20,12,17,90
Kota Banjarmasin,Yayle Exypnost 120 ml,125,76,44,46,291
Kota Banjarmasin,Yayle Exypnost 200 ml,114,71,32,29,246
Kota Batam,Yayle Exypnost 120 ml,340,204,187,160,891
Kota Batam,Yayle Exypnost 200 ml,347,178,157,126,808
Kota Batu,Yayle Exypnost 120 ml,30,19,14,10,73
Kota Batu,Yayle Exypnost 200 ml,15,8,5,9,37
Kota Bau Bau,Yayle Exypnost 120 ml,24,6,4,3,37
Kota Bau Bau,Yayle Exypnost 200 ml,18,11,4,3,36
Kota Baubau,Yayle Exypnost 120 ml,4,0,0,0,4
Kota Baubau,Yayle Exypnost 200 ml,4,0,0,0,4
Kota Bekasi,Yayle Exypnost 120 ml,1259,678,504,478,2919
Kota Bekasi,Yayle Exypnost 200 ml,602,354,241,231,1428
Kota Bengkulu,Yayle Exypnost 120 ml,72,44,24,29,169
Kota Bengkulu,Yayle Exypnost 200 ml,33,33,28,16,110
Kota Bengkulu Selatan,Yayle Exypnost 120 ml,5,0,0,0,5
Kota Bengkulu Selatan,Yayle Exypnost 200 ml,2,0,0,0,2
Kota Bima,Yayle Exypnost 120 ml,28,14,8,8,58
Kota Bima,Yayle Exypnost 200 ml,15,13,6,3,37
Kota Binjai,Yayle Exypnost 120 ml,41,20,10,10,81
Kota Binjai,Yayle Exypnost 200 ml,23,16,8,11,58
Kota Bitung,Yayle Exypnost 120 ml,15,13,4,3,35
Kota Bitung,Yayle Exypnost 200 ml,17,6,2,2,27
Kota Blitar,Yayle Exypnost 120 ml,26,8,11,7,52
Kota Blitar,Yayle Exypnost 200 ml,22,8,5,5,40
Kota Bogor,Yayle Exypnost 120 ml,239,107,70,77,493
Kota Bogor,Yayle Exypnost 200 ml,99,42,45,46,232
Kota Bontang,Yayle Exypnost 120 ml,17,13,31,14,75
Kota Bontang,Yayle Exypnost 200 ml,12,16,13,0,41
Kota Bukittinggi,Yayle Exypnost 120 ml,29,7,7,9,52
Kota Bukittinggi,Yayle Exypnost 200 ml,14,2,2,9,27
Kota Cilegon,Yayle Exypnost 120 ml,75,29,43,30,177
Kota Cilegon,Yayle Exypnost 200 ml,38,10,13,14,75
Kota Cimahi,Yayle Exypnost 120 ml,48,33,26,26,133
Kota Cimahi,Yayle Exypnost 200 ml,18,12,11,9,50
Kota Cirebon,Yayle Exypnost 120 ml,52,36,28,21,137
Kota Cirebon,Yayle Exypnost 200 ml,28,13,11,11,63
Kota Denpasar,Yayle Exypnost 120 ml,162,136,79,67,444
Kota Denpasar,Yayle Exypnost 200 ml,103,61,46,35,245
Kota Depok,Yayle Exypnost 120 ml,359,203,153,99,814
Kota Depok,Yayle Exypnost 200 ml,175,92,68,88,423
Kota Dumai,Yayle Exypnost 120 ml,74,42,30,17,163
Kota Dumai,Yayle Exypnost 200 ml,69,13,16,21,119
Kota Gorontalo,Yayle Exypnost 120 ml,75,13,19,13,120
Kota Gorontalo,Yayle Exypnost 200 ml,44,26,10,6,86
Kota Gunungsitoli,Yayle Exypnost 120 ml,8,9,4,4,25
Kota Gunungsitoli,Yayle Exypnost 200 ml,11,6,5,2,24
Kota Jakarta Barat,Yayle Exypnost 120 ml,30,18,14,11,73
Kota Jakarta Barat,Yayle Exypnost 200 ml,28,16,5,9,58
Kota Jakarta Pusat,Yayle Exypnost 120 ml,17,9,4,4,34
Kota Jakarta Pusat,Yayle Exypnost 200 ml,5,3,4,1,13
Kota Jakarta Selatan,Yayle Exypnost 120 ml,29,8,10,5,52
Kota Jakarta Selatan,Yayle Exypnost 200 ml,15,8,12,6,41
Kota Jakarta Timur,Yayle Exypnost 120 ml,56,30,20,12,118
Kota Jakarta Timur,Yayle Exypnost 200 ml,24,15,14,11,64
Kota Jakarta Utara,Yayle Exypnost 120 ml,26,17,12,14,69
Kota Jakarta Utara,Yayle Exypnost 200 ml,20,18,5,1,44
Kota Jambi,Yayle Exypnost 120 ml,172,90,53,39,354
Kota Jambi,Yayle Exypnost 200 ml,95,68,22,30,215
Kota Jayapura,Yayle Exypnost 200 ml,114,79,38,32,263
Kota Jayapura,Yayle Exypnost 120 ml,94,71,22,27,214
Kota Kediri,Yayle Exypnost 120 ml,57,20,20,12,109
Kota Kediri,Yayle Exypnost 200 ml,28,14,18,10,70
Kota Kendari,Yayle Exypnost 120 ml,74,53,31,27,185
Kota Kendari,Yayle Exypnost 200 ml,64,32,31,18,145
Kota Kotamobagu,Yayle Exypnost 120 ml,5,6,4,3,18
Kota Kotamobagu,Yayle Exypnost 200 ml,6,5,0,0,11
Kota Kupang,Yayle Exypnost 120 ml,69,47,42,15,173
Kota Kupang,Yayle Exypnost 200 ml,62,40,33,7,142
Kota Langsa,Yayle Exypnost 120 ml,41,29,7,13,90
Kota Langsa,Yayle Exypnost 200 ml,33,8,16,18,75
Kota Lhokseumawe,Yayle Exypnost 120 ml,65,35,44,28,172
Kota Lhokseumawe,Yayle Exypnost 200 ml,51,12,24,25,112
Kota Lubuk Linggau,Yayle Exypnost 120 ml,31,14,18,5,68
Kota Lubuk Linggau,Yayle Exypnost 200 ml,13,6,1,8,28
Kota Lubuklinggau,Yayle Exypnost 120 ml,4,2,1,1,8
Kota Lubuklinggau,Yayle Exypnost 200 ml,2,1,0,0,3
Kota Madiun,Yayle Exypnost 120 ml,32,11,22,9,74
Kota Madiun,Yayle Exypnost 200 ml,19,12,7,4,42
Kota Magelang,Yayle Exypnost 120 ml,37,22,19,9,87
Kota Magelang,Yayle Exypnost 200 ml,16,5,5,4,30
Kota Makassar,Yayle Exypnost 120 ml,267,140,113,65,585
Kota Makassar,Yayle Exypnost 200 ml,278,103,93,59,533
Kota Malang,Yayle Exypnost 120 ml,165,74,56,47,342
Kota Malang,Yayle Exypnost 200 ml,101,54,29,25,209
Kota Manado,Yayle Exypnost 120 ml,71,39,29,9,148
Kota Manado,Yayle Exypnost 200 ml,38,29,19,12,98
Kota Mataram,Yayle Exypnost 120 ml,61,33,17,22,133
Kota Mataram,Yayle Exypnost 200 ml,41,25,11,17,94
Kota Medan,Yayle Exypnost 120 ml,351,246,168,163,928
Kota Medan,Yayle Exypnost 200 ml,329,207,159,103,798
Kota Melaka,Yayle Exypnost 120 ml,0,1,1,4,6
Kota Melaka,Yayle Exypnost 200 ml,0,2,2,2,6
Kota Metro,Yayle Exypnost 120 ml,8,7,11,4,30
Kota Metro,Yayle Exypnost 200 ml,6,2,1,5,14
Kota Mojokerto,Yayle Exypnost 120 ml,23,21,7,14,65
Kota Mojokerto,Yayle Exypnost 200 ml,21,5,5,3,34
Kota Padang,Yayle Exypnost 120 ml,194,127,83,59,463
Kota Padang,Yayle Exypnost 200 ml,144,52,62,58,316
Kota Padang Panjang,Yayle Exypnost 200 ml,19,6,4,8,37
Kota Padang Panjang,Yayle Exypnost 120 ml,11,11,3,0,25
Kota Padang Sidempuan,Yayle Exypnost 120 ml,17,11,8,0,36
Kota Padang Sidempuan,Yayle Exypnost 200 ml,14,6,4,5,29
Kota Padangsidimpuan,Yayle Exypnost 120 ml,35,16,16,9,76
Kota Padangsidimpuan,Yayle Exypnost 200 ml,34,10,10,16,70
Kota Pagar Alam,Yayle Exypnost 120 ml,17,7,5,0,29
Kota Pagar Alam,Yayle Exypnost 200 ml,12,4,0,0,16
Kota Palangka Raya,Yayle Exypnost 120 ml,7,2,0,3,12
Kota Palangka Raya,Yayle Exypnost 200 ml,3,4,3,0,10
Kota Palangkaraya,Yayle Exypnost 120 ml,59,55,25,30,169
Kota Palangkaraya,Yayle Exypnost 200 ml,61,25,13,8,107
Kota Palembang,Yayle Exypnost 120 ml,351,187,133,139,810
Kota Palembang,Yayle Exypnost 200 ml,295,127,102,74,598
Kota Palopo,Yayle Exypnost 120 ml,11,14,13,12,50
Kota Palopo,Yayle Exypnost 200 ml,24,8,3,4,39
Kota Palu,Yayle Exypnost 200 ml,107,44,43,13,207
Kota Palu,Yayle Exypnost 120 ml,84,61,42,18,205
Kota Pangkal Pinang,Yayle Exypnost 120 ml,75,55,29,24,183
Kota Pangkal Pinang,Yayle Exypnost 200 ml,44,37,22,22,125
Kota Pare Pare,Yayle Exypnost 120 ml,19,13,5,8,45
Kota Pare Pare,Yayle Exypnost 200 ml,24,3,7,6,40
Kota Parepare,Yayle Exypnost 120 ml,3,0,0,0,3
Kota Parepare,Yayle Exypnost 200 ml,0,0,0,2,2
Kota Pariaman,Yayle Exypnost 200 ml,15,3,4,4,26
Kota Pariaman,Yayle Exypnost 120 ml,6,5,7,2,20
Kota Pasuruan,Yayle Exypnost 120 ml,55,26,22,8,111
Kota Pasuruan,Yayle Exypnost 200 ml,27,22,19,7,75
Kota Payakumbuh,Yayle Exypnost 200 ml,17,4,11,7,39
Kota Payakumbuh,Yayle Exypnost 120 ml,4,13,5,5,27
Kota Pekalongan,Yayle Exypnost 120 ml,88,37,41,24,190
Kota Pekalongan,Yayle Exypnost 200 ml,32,19,13,18,82
Kota Pekanbaru,Yayle Exypnost 120 ml,213,164,94,87,558
Kota Pekanbaru,Yayle Exypnost 200 ml,210,121,85,90,506
Kota Pematang Siantar,Yayle Exypnost 120 ml,35,22,14,18,89
Kota Pematang Siantar,Yayle Exypnost 200 ml,40,14,7,9,70
Kota Pematangsiantar,Yayle Exypnost 120 ml,1,4,8,0,13
Kota Pontianak,Yayle Exypnost 120 ml,106,91,56,45,298
Kota Pontianak,Yayle Exypnost 200 ml,115,57,24,16,212
Kota Prabumulih,Yayle Exypnost 120 ml,24,19,18,7,68
Kota Prabumulih,Yayle Exypnost 200 ml,12,7,5,5,29
Kota Probolinggo,Yayle Exypnost 120 ml,54,33,21,11,119
Kota Probolinggo,Yayle Exypnost 200 ml,29,6,18,9,62
Kota Sabang,Yayle Exypnost 120 ml,4,11,8,4,27
Kota Sabang,Yayle Exypnost 200 ml,10,2,4,11,27
Kota Salatiga,Yayle Exypnost 120 ml,11,9,6,4,30
Kota Salatiga,Yayle Exypnost 200 ml,5,2,0,2,9
Kota Samarinda,Yayle Exypnost 200 ml,240,97,75,41,453
Kota Samarinda,Yayle Exypnost 120 ml,184,119,76,43,422
Kota Sawahlunto,Yayle Exypnost 120 ml,13,8,4,3,28
Kota Sawahlunto,Yayle Exypnost 200 ml,10,5,0,2,17
Kota Semarang,Yayle Exypnost 120 ml,303,213,140,106,762
Kota Semarang,Yayle Exypnost 200 ml,148,100,71,50,369
Kota Serang,Yayle Exypnost 120 ml,285,137,113,76,611
Kota Serang,Yayle Exypnost 200 ml,114,58,46,36,254
Kota Sibolga,Yayle Exypnost 200 ml,16,5,7,1,29
Kota Sibolga,Yayle Exypnost 120 ml,6,10,2,1,19
Kota Singkawang,Yayle Exypnost 120 ml,24,13,6,8,51
Kota Singkawang,Yayle Exypnost 200 ml,23,5,2,7,37
Kota Solok,Yayle Exypnost 120 ml,43,34,11,8,96
Kota Solok,Yayle Exypnost 200 ml,49,8,13,6,76
Kota Sorong,Yayle Exypnost 120 ml,5,15,11,7,38
Kota Sorong,Yayle Exypnost 200 ml,12,7,1,2,22
Kota Subulussalam,Yayle Exypnost 200 ml,22,5,7,4,38
Kota Subulussalam,Yayle Exypnost 120 ml,6,14,7,4,31
Kota Sukabumi,Yayle Exypnost 120 ml,80,43,23,25,171
Kota Sukabumi,Yayle Exypnost 200 ml,35,23,16,18,92
Kota Sungai Penuh,Yayle Exypnost 120 ml,6,9,7,2,24
Kota Sungai Penuh,Yayle Exypnost 200 ml,9,3,6,1,19
Kota Surabaya,Yayle Exypnost 120 ml,426,293,219,134,1072
Kota Surabaya,Yayle Exypnost 200 ml,189,152,98,95,534
Kota Surakarta,Yayle Exypnost 120 ml,27,17,22,9,75
Kota Surakarta,Yayle Exypnost 200 ml,14,11,7,7,39
Kota Tangerang,Yayle Exypnost 120 ml,742,369,282,279,1672
Kota Tangerang,Yayle Exypnost 200 ml,360,219,137,180,896
Kota Tangerang Selatan,Yayle Exypnost 120 ml,206,148,120,130,604
Kota Tangerang Selatan,Yayle Exypnost 200 ml,116,73,57,72,318
Kota Tanjung Balai,Yayle Exypnost 200 ml,15,5,4,3,27
Kota Tanjung Balai,Yayle Exypnost 120 ml,2,11,4,7,24
Kota Tanjung Pinang,Yayle Exypnost 120 ml,36,35,27,29,127
Kota Tanjung Pinang,Yayle Exypnost 200 ml,44,21,16,15,96
Kota Tarakan,Yayle Exypnost 200 ml,36,20,21,7,84
Kota Tarakan,Yayle Exypnost 120 ml,34,32,12,3,81
Kota Tasikmalaya,Yayle Exypnost 120 ml,169,47,40,34,290
Kota Tasikmalaya,Yayle Exypnost 200 ml,50,25,33,11,119
Kota Tebing Tinggi,Yayle Exypnost 120 ml,32,17,14,9,72
Kota Tebing Tinggi,Yayle Exypnost 200 ml,17,14,10,4,45
Kota Tegal,Yayle Exypnost 120 ml,77,43,37,32,189
Kota Tegal,Yayle Exypnost 200 ml,22,30,18,13,83
Kota Ternate,Yayle Exypnost 120 ml,55,24,20,22,121
Kota Ternate,Yayle Exypnost 200 ml,47,20,12,19,98
Kota Tidore Kepulauan,Yayle Exypnost 120 ml,14,8,17,3,42
Kota Tidore Kepulauan,Yayle Exypnost 200 ml,1,5,0,4,10
Kota Tomohon,Yayle Exypnost 120 ml,0,2,0,2,4
Kota Tomohon,Yayle Exypnost 200 ml,0,1,0,0,1
Kota Tual,Yayle Exypnost 120 ml,0,2,0,0,2
Kota Yogyakarta,Yayle Exypnost 120 ml,15,18,160,15,208
Kota Yogyakarta,Yayle Exypnost 200 ml,7,5,9,15,36
Kotabaru,Yayle Exypnost 200 ml,112,40,31,26,209
Kotabaru,Yayle Exypnost 120 ml,98,39,27,15,179
Kotabekasi,Yayle Exypnost 200 ml,0,0,0,1,1
Kotamobagu,Yayle Exypnost 120 ml,10,6,0,2,18
Kotamobagu,Yayle Exypnost 200 ml,9,3,3,0,15
Kotawaringin Barat,Yayle Exypnost 120 ml,139,66,61,35,301
Kotawaringin Barat,Yayle Exypnost 200 ml,118,28,32,11,189
Kotawaringin Timur,Yayle Exypnost 120 ml,145,94,69,56,364
Kotawaringin Timur,Yayle Exypnost 200 ml,158,87,55,35,335
Kuantan Singingi,Yayle Exypnost 120 ml,115,59,55,32,261
Kuantan Singingi,Yayle Exypnost 200 ml,75,44,21,21,161
Kubu Raya,Yayle Exypnost 120 ml,114,102,58,53,327
Kubu Raya,Yayle Exypnost 200 ml,138,33,38,28,237
Kudus,Yayle Exypnost 120 ml,289,177,116,96,678
Kudus,Yayle Exypnost 200 ml,80,53,44,25,202
Kulon Progo,Yayle Exypnost 120 ml,47,30,22,17,116
Kulon Progo,Yayle Exypnost 200 ml,31,6,15,8,60
Kuningan,Yayle Exypnost 120 ml,361,187,109,94,751
Kuningan,Yayle Exypnost 200 ml,142,82,66,32,322
Kupang,Yayle Exypnost 200 ml,14,6,4,0,24
Kupang,Yayle Exypnost 120 ml,10,4,7,1,22
Kutai Barat,Yayle Exypnost 120 ml,68,55,29,31,183
Kutai Barat,Yayle Exypnost 200 ml,85,25,11,20,141
Kutai Kartanegara,Yayle Exypnost 120 ml,151,65,44,24,284
Kutai Kartanegara,Yayle Exypnost 200 ml,143,68,26,24,261
Kutai Timur,Yayle Exypnost 200 ml,174,71,51,38,334
Kutai Timur,Yayle Exypnost 120 ml,142,86,55,28,311
Kutha Surabaya,Yayle Exypnost 120 ml,0,1,0,0,1
Kutha Tangerang,Yayle Exypnost 120 ml,0,0,0,2,2
Labuhan Batu,Yayle Exypnost 200 ml,21,11,5,7,44
Labuhan Batu,Yayle Exypnost 120 ml,18,6,8,8,40
Labuhanbatu,Yayle Exypnost 120 ml,51,33,21,19,124
Labuhanbatu,Yayle Exypnost 200 ml,41,21,20,31,113
Labuhanbatu Selatan,Yayle Exypnost 120 ml,47,23,40,23,133
Labuhanbatu Selatan,Yayle Exypnost 200 ml,43,11,12,11,77
Labuhanbatu Utara,Yayle Exypnost 120 ml,36,31,21,14,102
Labuhanbatu Utara,Yayle Exypnost 200 ml,31,17,17,4,69
Lahat,Yayle Exypnost 120 ml,92,33,33,36,194
Lahat,Yayle Exypnost 200 ml,79,28,22,15,144
Lamandau,Yayle Exypnost 120 ml,50,17,21,25,113
Lamandau,Yayle Exypnost 200 ml,65,13,8,13,99
Lamongan,Yayle Exypnost 120 ml,386,158,125,84,753
Lamongan,Yayle Exypnost 200 ml,192,63,49,41,345
Lampung Barat,Yayle Exypnost 120 ml,58,38,19,22,137
Lampung Barat,Yayle Exypnost 200 ml,33,11,10,15,69
Lampung Selatan,Yayle Exypnost 120 ml,201,98,61,58,418
Lampung Selatan,Yayle Exypnost 200 ml,124,39,38,38,239
Lampung Tengah,Yayle Exypnost 120 ml,203,96,73,64,436
Lampung Tengah,Yayle Exypnost 200 ml,133,45,22,22,222
Lampung Timur,Yayle Exypnost 120 ml,137,64,62,45,308
Lampung Timur,Yayle Exypnost 200 ml,85,26,23,30,164
Lampung Utara,Yayle Exypnost 120 ml,115,62,28,35,240
Lampung Utara,Yayle Exypnost 200 ml,71,26,14,20,131
Landak,Yayle Exypnost 120 ml,40,23,23,8,94
Landak,Yayle Exypnost 200 ml,25,11,7,9,52
Langkat,Yayle Exypnost 120 ml,210,114,62,53,439
Langkat,Yayle Exypnost 200 ml,179,60,54,56,349
Langsa,Yayle Exypnost 200 ml,44,30,4,23,101
Langsa,Yayle Exypnost 120 ml,40,15,9,11,75
Lebak,Yayle Exypnost 120 ml,484,187,147,123,941
Lebak,Yayle Exypnost 200 ml,195,79,81,53,408
Lebong,Yayle Exypnost 200 ml,14,5,9,0,28
Lebong,Yayle Exypnost 120 ml,6,0,3,1,10
Lembata,Yayle Exypnost 120 ml,1,4,6,3,14
Lembata,Yayle Exypnost 200 ml,5,2,3,1,11
Lhokseumawe,Yayle Exypnost 200 ml,95,31,21,53,200
Lhokseumawe,Yayle Exypnost 120 ml,88,48,20,35,191
Lima Puluh Kota,Yayle Exypnost 120 ml,50,32,17,13,112
Lima Puluh Kota,Yayle Exypnost 200 ml,44,15,11,9,79
Lingga,Yayle Exypnost 200 ml,8,12,0,5,25
Lingga,Yayle Exypnost 120 ml,2,3,1,8,14
Lombok Barat,Yayle Exypnost 120 ml,93,35,33,15,176
Lombok Barat,Yayle Exypnost 200 ml,58,18,14,10,100
Lombok Tengah,Yayle Exypnost 120 ml,106,45,32,18,201
Lombok Tengah,Yayle Exypnost 200 ml,77,23,13,20,133
Lombok Timur,Yayle Exypnost 120 ml,254,112,51,53,470
Lombok Timur,Yayle Exypnost 200 ml,185,38,38,42,303
Lombok Utara,Yayle Exypnost 120 ml,37,12,16,6,71
Lombok Utara,Yayle Exypnost 200 ml,27,7,4,8,46
Lubuklinggau,Yayle Exypnost 200 ml,26,10,12,8,56
Lubuklinggau,Yayle Exypnost 120 ml,19,17,8,10,54
Lumajang,Yayle Exypnost 120 ml,196,80,53,56,385
Lumajang,Yayle Exypnost 200 ml,102,43,22,29,196
Luwu,Yayle Exypnost 120 ml,62,45,31,22,160
Luwu,Yayle Exypnost 200 ml,77,32,23,26,158
Luwu Timur,Yayle Exypnost 200 ml,103,53,19,13,188
Luwu Timur,Yayle Exypnost 120 ml,75,30,20,19,144
Luwu Utara,Yayle Exypnost 200 ml,62,31,18,3,114
Luwu Utara,Yayle Exypnost 120 ml,46,18,8,10,82
Madiun,Yayle Exypnost 120 ml,148,58,67,47,320
Madiun,Yayle Exypnost 200 ml,67,29,22,18,136
Magelang,Yayle Exypnost 120 ml,115,65,46,35,261
Magelang,Yayle Exypnost 200 ml,40,24,17,9,90
Magetan,Yayle Exypnost 120 ml,137,62,54,26,279
Magetan,Yayle Exypnost 200 ml,74,37,44,16,171
Mahakam Ulu,Yayle Exypnost 200 ml,23,10,9,6,48
Mahakam Ulu,Yayle Exypnost 120 ml,20,10,7,1,38
Majalengka,Yayle Exypnost 120 ml,398,167,129,79,773
Majalengka,Yayle Exypnost 200 ml,138,80,29,34,281
Majene,Yayle Exypnost 200 ml,30,11,10,5,56
Majene,Yayle Exypnost 120 ml,17,12,3,1,33
Makassar,Yayle Exypnost 200 ml,338,143,109,55,645
Makassar,Yayle Exypnost 120 ml,322,134,77,64,597
Malaka,Yayle Exypnost 200 ml,4,0,7,2,13
Malaka,Yayle Exypnost 120 ml,3,2,2,1,8
Malang,Yayle Exypnost 120 ml,553,216,207,108,1084
Malang,Yayle Exypnost 200 ml,286,150,112,67,615
Malinau,Yayle Exypnost 200 ml,50,20,6,7,83
Malinau,Yayle Exypnost 120 ml,19,12,14,9,54
Maluku Barat Daya,Yayle Exypnost 120 ml,1,0,0,2,3
Maluku Tengah,Yayle Exypnost 200 ml,2,2,5,0,9
Maluku Tengah,Yayle Exypnost 120 ml,4,0,4,0,8
Maluku Tenggara,Yayle Exypnost 200 ml,2,2,0,2,6
Maluku Tenggara,Yayle Exypnost 120 ml,2,0,2,0,4
Maluku Tenggara Barat,Yayle Exypnost 120 ml,2,3,2,0,7
Maluku Tenggara Barat,Yayle Exypnost 200 ml,1,2,0,0,3
Mamasa,Yayle Exypnost 120 ml,6,3,1,2,12
Mamasa,Yayle Exypnost 200 ml,9,2,1,0,12
Mamberamo Raya,Yayle Exypnost 200 ml,2,0,0,0,2
Mamuju,Yayle Exypnost 120 ml,52,23,20,12,107
Mamuju,Yayle Exypnost 200 ml,60,18,16,9,103
Mamuju Tengah,Yayle Exypnost 120 ml,30,19,9,4,62
Mamuju Tengah,Yayle Exypnost 200 ml,34,12,10,3,59
Mamuju Utara,Yayle Exypnost 200 ml,51,20,9,7,87
Mamuju Utara,Yayle Exypnost 120 ml,33,10,6,4,53
Manado,Yayle Exypnost 120 ml,20,13,14,7,54
Manado,Yayle Exypnost 200 ml,25,8,9,3,45
Mandailing Natal,Yayle Exypnost 120 ml,69,60,35,31,195
Mandailing Natal,Yayle Exypnost 200 ml,70,35,29,33,167
Manggarai,Yayle Exypnost 200 ml,4,0,0,0,4
Manggarai,Yayle Exypnost 120 ml,1,0,2,0,3
Manggarai Barat,Yayle Exypnost 120 ml,11,2,5,0,18
Manggarai Barat,Yayle Exypnost 200 ml,2,6,3,2,13
Manggarai Timur,Yayle Exypnost 120 ml,4,0,0,0,4
Manggarai Timur,Yayle Exypnost 200 ml,4,0,0,0,4
Manokwari,Yayle Exypnost 200 ml,8,4,2,0,14
Manokwari,Yayle Exypnost 120 ml,5,4,1,0,10
Manokwari Selatan,Yayle Exypnost 200 ml,2,0,0,1,3
Mappi,Yayle Exypnost 120 ml,0,0,1,2,3
Maros,Yayle Exypnost 120 ml,59,44,32,12,147
Maros,Yayle Exypnost 200 ml,70,37,18,10,135
Mataram,Yayle Exypnost 120 ml,40,18,18,8,84
Mataram,Yayle Exypnost 200 ml,35,18,10,10,73
Medan,Yayle Exypnost 200 ml,450,230,174,129,983
Medan,Yayle Exypnost 120 ml,415,235,176,112,938
Melaka,Yayle Exypnost 200 ml,2,0,0,0,2
Melawi,Yayle Exypnost 120 ml,39,29,12,12,92
Melawi,Yayle Exypnost 200 ml,28,18,12,4,62
Mempawah,Yayle Exypnost 120 ml,68,24,12,21,125
Mempawah,Yayle Exypnost 200 ml,53,21,8,16,98
Mentawai Islands,Yayle Exypnost 120 ml,0,1,0,0,1
Mentawai Islands,Yayle Exypnost 200 ml,0,0,1,0,1
Merangin,Yayle Exypnost 120 ml,88,67,35,34,224
Merangin,Yayle Exypnost 200 ml,98,23,24,21,166
Meranti Islands,Yayle Exypnost 120 ml,2,0,0,0,2
Merauke,Yayle Exypnost 120 ml,14,8,5,6,33
Merauke,Yayle Exypnost 200 ml,15,6,4,1,26
Mesuji,Yayle Exypnost 200 ml,27,23,5,8,63
Mesuji,Yayle Exypnost 120 ml,25,9,14,6,54
Metro,Yayle Exypnost 120 ml,25,9,2,2,38
Metro,Yayle Exypnost 200 ml,15,1,1,4,21
Mimika,Yayle Exypnost 120 ml,13,15,11,3,42
Mimika,Yayle Exypnost 200 ml,8,6,2,0,16
Minahasa,Yayle Exypnost 120 ml,12,17,8,6,43
Minahasa,Yayle Exypnost 200 ml,5,2,5,0,12
Minahasa Selatan,Yayle Exypnost 120 ml,17,11,8,3,39
Minahasa Selatan,Yayle Exypnost 200 ml,15,5,1,5,26
Minahasa Tenggara,Yayle Exypnost 200 ml,13,6,3,4,26
Minahasa Tenggara,Yayle Exypnost 120 ml,10,10,3,2,25
Minahasa Utara,Yayle Exypnost 120 ml,12,13,16,8,49
Minahasa Utara,Yayle Exypnost 200 ml,12,6,6,0,24
Mojokerto,Yayle Exypnost 120 ml,349,173,160,95,777
Mojokerto,Yayle Exypnost 200 ml,150,92,50,49,341
Morowali,Yayle Exypnost 120 ml,88,45,34,39,206
Morowali,Yayle Exypnost 200 ml,120,37,27,11,195
Morowali Utara,Yayle Exypnost 120 ml,32,23,5,5,65
Morowali Utara,Yayle Exypnost 200 ml,34,11,4,4,53
Mount Kerinci,Yayle Exypnost 120 ml,6,2,0,2,10
Mount Kerinci,Yayle Exypnost 200 ml,6,2,0,0,8
Muara Enim,Yayle Exypnost 120 ml,117,71,51,36,275
Muara Enim,Yayle Exypnost 200 ml,134,39,18,31,222
Muaro Jambi,Yayle Exypnost 120 ml,131,62,37,39,269
Muaro Jambi,Yayle Exypnost 200 ml,102,38,5,31,176
Muko Muko,Yayle Exypnost 120 ml,27,25,13,4,69
Muko Muko,Yayle Exypnost 200 ml,19,6,1,2,28
Mukomuko,Yayle Exypnost 120 ml,46,33,12,10,101
Mukomuko,Yayle Exypnost 200 ml,46,20,3,8,77
Muna,Yayle Exypnost 200 ml,13,6,6,8,33
Muna,Yayle Exypnost 120 ml,8,2,6,6,22
Muna Barat,Yayle Exypnost 200 ml,15,13,2,2,32
Muna Barat,Yayle Exypnost 120 ml,9,4,3,2,18
Murung Raya,Yayle Exypnost 120 ml,39,23,15,6,83
Murung Raya,Yayle Exypnost 200 ml,33,23,10,8,74
Musi Banyuasin,Yayle Exypnost 120 ml,280,140,106,63,589
Musi Banyuasin,Yayle Exypnost 200 ml,226,90,70,61,447
Musi Rawas,Yayle Exypnost 120 ml,60,24,16,15,115
Musi Rawas,Yayle Exypnost 200 ml,57,7,2,3,69
Musi Rawas Utara,Yayle Exypnost 120 ml,31,14,14,16,75
